ID,Название,Описание,Связанные угрозы,Количество угроз
1,Рекогносцировка,"Рекогносцировка состоит из методов, которые вовлекают противников в активный или пассивный сбор информации, которая может быть использована для поддержки наведения на цель. Такая информация может включать подробные сведения об организации жертвы, инфраструктуре или персонале. Эта информация может быть использована злоумышленником для помощи на других этапах жизненного цикла противника, например, для использования собранной информации для планирования и выполнения начального доступа, для определения масштаба и определения приоритетов целей после компрометации или для управления дальнейшими усилиями по разведке.",Угроза обнаружения открытых портов и идентификации привязанных к ним сетевых служб; Угроза обнаружения хостов; Угроза определения типов объектов защиты; Угроза получения предварительной информации об объекте защиты,4
2,Разработка ресурсов,"Разработка ресурсов состоит из методов, в которых злоумышленники создают, покупают или компрометируют / крадут ресурсы, которые могут использоваться для поддержки целевых атак. Такие ресурсы включают инфраструктуру, учетные записи или возможности. Эти ресурсы могут быть использованы противником для помощи на других этапах жизненного цикла атаки, например, с использованием приобретенных доменов для поддержки управления и контроля, учетных записей электронной почты для фишинга как части начального доступа или кражи сертификатов подписи кода для помощи в уклонении от защиты. .","Угроза заражения DNS-кеша; Угроза злоупотребления возможностями, предоставленными потребителям облачных услуг; Угроза межсайтового скриптинга; Угроза межсайтовой подделки запроса; Угроза некорректного использования функционала программного и аппаратного обеспечения; Угроза подмены субъекта сетевого доступа; Угроза получения сведений о владельце беспроводного устройства; Угроза сканирования веб-сервисов, разработанных на основе языка описания WSDL; Угроза усиления воздействия на вычислительные ресурсы пользователей при помощи сторонних серверов; Угроза «форсированного веб-браузинга»; Угроза «фарминга»; Угроза «фишинга»; Угроза внедрения вредоносного кода через рекламу, сервисы и контент",13
3,Первоначальный доступ,"Первоначальный доступ состоит из методов, которые используют различные векторы входа, чтобы получить исходную точку опоры в сети. Методы, используемые для закрепления, включают целевой фишинг и использование уязвимостей на общедоступных веб-серверах. Точки опоры, полученные в результате первоначального доступа, могут позволить продолжить доступ, например, использование действительных учетных записей и использование внешних удаленных сервисов, или некоторые (точки опоры) могут быть использованы до изменения паролей.","Угроза аппаратного сброса пароля BIOS; Угроза восстановления предыдущей уязвимой версии BIOS; Угроза доступа/перехвата/изменения HTTP cookies; Угроза загрузки нештатной операционной системы; Угроза использования информации идентификации/аутентификации, заданной по умолчанию; Угроза использования слабых криптографических алгоритмов BIOS; Угроза исчерпания запаса ключей, необходимых для обновления BIOS; Угроза незащищённого администрирования облачных услуг; Угроза неправомерного/некорректного использования интерфейса взаимодействия с приложением; Угроза несанкционированного доступа к системе по беспроводным каналам; Угроза несанкционированного использования привилегированных функций BIOS; Угроза подбора пароля BIOS; Угроза подключения к беспроводной сети в обход процедуры аутентификации; Угроза подмены действия пользователя путём обмана; Угроза подмены доверенного пользователя; Угроза подмены содержимого сетевых ресурсов; Угроза преодоления физической защиты; Угроза программного сброса пароля BIOS; Угроза «кражи» учётной записи доступа к сетевым сервисам; Угроза наличия механизмов разработчика; Угроза «фарминга»; Угроза несанкционированного воздействия на средство защиты информации; Угроза внедрения вредоносного кода за счет посещения зараженных сайтов в сети Интернет; Угроза использования уязвимых версий программного обеспечения; Угроза перехвата управления информационной системой; Угроза несвоевременного выявления и реагирования компонентами информационной (автоматизированной) системы (в том числе средствами защиты информации) на события безопасности информации; Угроза получения несанкционированного доступа к приложениям, установленным на Smart-картах",27
4,Внедрение и исполнение вредоносного кода,"Злоумышленник пытается внедрить и запустить вредоносный код на атакуемом объекте атаки. Возможность хоть каким-нибудь способом заставить атакуемый элемент инфраструктуры выполнить хоть какие-то из нужных нарушителю действий. Техники могут быть разными, от использования готового интерфейса командной строки до инфицировани узла вредоносным ПО.","Угроза автоматического распространения вредоносного кода в грид-системе; Угроза внедрения вредоносного кода в BIOS; Угроза внедрения кода или данных; Угроза выхода процесса за пределы виртуальной машины; Угроза деструктивного использования декларированного функционала BIOS; Угроза избыточного выделения оперативной памяти; Угроза искажения вводимой и выводимой на периферийные устройства информации; Угроза использования вычислительных ресурсов суперкомпьютера «паразитными» процессами; Угроза использования поддельных цифровых подписей BIOS; Угроза межсайтового скриптинга; Угроза межсайтовой подделки запроса; Угроза нарушения изоляции пользовательских данных внутри виртуальной машины; Угроза непрерывной модернизации облачной инфраструктуры; Угроза несанкционированного выключения или обхода механизма защиты от записи в BIOS; Угроза несанкционированного доступа к активному и (или) пассивному виртуальному и (или) физическому сетевому оборудованию из физической и (или) виртуальной сети; Угроза несанкционированного доступа к данным за пределами зарезервированного адресного пространства, в том числе выделенного под виртуальное аппаратное обеспечение; Угроза несанкционированного доступа к локальному компьютеру через клиента грид-системы; Угроза несанкционированного управления указателями; Угроза подмены резервной копии программного обеспечения BIOS; Угроза пропуска проверки целостности программного обеспечения; Угроза сбоя обработки специальным образом изменённых файлов; Угроза установки уязвимых версий обновления программного обеспечения BIOS; Угроза эксплуатации цифровой подписи программного кода; Угроза заражения компьютера при посещении неблагонадёжных сайтов; Угроза неправомерного шифрования информации; Угроза скрытного включения вычислительного устройства в состав бот-сети; Угроза распространения «почтовых червей»; Угроза подмены программного обеспечения; Угроза внедрения вредоносного кода за счет посещения зараженных сайтов в сети Интернет; Угроза внедрения вредоносного кода в дистрибутив программного обеспечения; Угроза удаленного запуска вредоносного кода в обход механизмов защиты операционной системы; Угроза контроля вредоносной программой списка приложений, запущенных на мобильном устройстве; Угроза скрытной регистрации вредоносной программой учетных записей администраторов; Угроза несанкционированной установки приложений на мобильные устройства; Угроза несанкционированного изменения вредоносной программой значений параметров программируемых логических контроллеров; Угроза нецелевого использования вычислительных ресурсов средства вычислительной техники; Угроза обхода многофакторной аутентификации; Угроза несвоевременного выявления и реагирования компонентами информационной (автоматизированной) системы (в том числе средствами защиты информации) на события безопасности информации; Угроза использования скомпрометированного доверенного источника обновлений программного обеспечения",39
5,Закрепление,"Возможность сохранить присутствие в атакованной инфраструктуре даже после того, как будет перезагружен атакованный узел, будут найдены и уничтожены некоторые внедренные инструменты и т. п.",Угроза исследования механизмов работы программы; Угроза несанкционированного редактирования реестра; Угроза несанкционированного создания учётной записи пользователя; Угроза эксплуатации цифровой подписи программного кода; Угроза маскирования действий вредоносного кода; Угроза использования уязвимых версий программного обеспечения; Угроза скрытной регистрации вредоносной программой учетных записей администраторов; Угроза несанкционированной установки приложений на мобильные устройства,8
6,Повышение привилегий,"Повышение привилегий состоит из методов, которые злоумышленники используют для получения разрешений более высокого уровня в системе или сети. Злоумышленники часто могут входить в сеть и исследовать ее с непривилегированным доступом, но для достижения своих целей требуются повышенные разрешения. Общие подходы заключаются в использовании слабых мест системы, неправильной конфигурации и уязвимостей. Примеры повышенного доступа включают: • Системный / корневой уровень • локальный администратор • учетная запись пользователя с доступом, подобным администратору • учетные записи пользователей с доступом к определенной системе или выполняющим определенную функцию Эти методы часто пересекаются с методами сохранения состояния, поскольку функции ОС, позволяющие противнику сохраняться, могут выполнять в повышенном контексте.","Угроза воздействия на программы с высокими привилегиями; Угроза использования механизмов авторизации для повышения привилегий; Угроза нарушения процедуры аутентификации субъектов виртуального информационного взаимодействия; Угроза невозможности управления правами пользователей BIOS; Угроза незащищённого администрирования облачных услуг; Угроза несанкционированного изменения аутентификационной информации; Угроза несанкционированного редактирования реестра; Угроза несанкционированного удалённого внеполосного доступа к аппаратным средствам; Угроза несогласованности правил доступа к большим данным; Угроза обхода некорректно настроенных механизмов аутентификации; Угроза ошибки обновления гипервизора; Угроза перебора всех настроек и параметров приложения; Угроза перехвата привилегированного потока; Угроза перехвата привилегированного процесса; Угроза перехвата управления гипервизором; Угроза перехвата управления средой виртуализации; Угроза повышения привилегий; Угроза удаления аутентификационной информации; Угроза перехвата исключения/сигнала из привилегированного блока функций; Угроза несанкционированного использования привилегированных функций мобильного устройства; Угроза скрытной регистрации вредоносной программой учетных записей администраторов; Угроза несанкционированного доступа к контейнерам, предоставляющего пользователям расширенные привилегии",22
7,Обход защиты,"Обход защиты состоит из методов, которые злоумышленники используют, чтобы избежать обнаружения во время компрометации. Методы, используемые для обхода защиты, включают удаление / отключение программного обеспечения безопасности или обфускацию / шифрование данных и сценариев. Злоумышленники также используют и злоупотребляют надежными процессами, чтобы скрыть и замаскировать свои вредоносные программы. Другие тактические приемы перечислены здесь, когда эти методы включают дополнительное преимущество подрыва защиты.","Угроза анализа криптографических алгоритмов и их реализации; Угроза использования альтернативных путей доступа к ресурсам; Угроза отключения контрольных датчиков; Угроза передачи данных по скрытым каналам; Угроза перезагрузки аппаратных и программно-аппаратных средств вычислительной техники; Угроза подделки записей журнала регистрации событий; Угроза несанкционированного изменения параметров настройки средств защиты информации; Угроза утечки информации за счет применения вредоносным программным обеспечением алгоритмов шифрования трафика; Угроза удаленного запуска вредоносного кода в обход механизмов защиты операционной системы; Угроза утечки информации с неподключенных к сети Интернет компьютеров; Угроза нарушения функционирования («обхода») средств, реализующих технологии искусственного интеллекта; Угроза подмены модели машинного обучения",12
8,Получения учетных данных,"Получение учетных данных состоит из методов кражи учетных данных, таких как имена учетных записей и пароли. Методы, используемые для получения учетных данных, включают в себя кейлоггинг или сброс учетных данных. Использование законных учетных данных может дать злоумышленникам доступ к системам, затруднить их обнаружение и дать возможность создать больше учетных записей для достижения своих целей.",Угроза восстановления и/или повторного использования аутентификационной информации; Угроза доступа/перехвата/изменения HTTP cookies; Угроза некорректного использования прозрачного прокси-сервера за счёт плагинов браузера; Угроза несанкционированного доступа к аутентификационной информации; Угроза несанкционированного изменения аутентификационной информации; Угроза подбора пароля BIOS; Угроза подмены беспроводного клиента или точки доступа; Угроза подмены субъекта сетевого доступа; Угроза сбоя автоматического управления системой разграничения доступа хранилища больших данных; Угроза удаления аутентификационной информации; Угроза перехвата одноразовых паролей в режиме реального времени; Угроза хищения аутентификационной информации из временных файлов cookie,12
9,Развертывание,"Развертывание состоит из методов, которые злоумышленник может использовать для получения информации о системе и внутренней сети. Эти методы помогают нарушителям наблюдать за окружающей средой и сориентироваться, прежде чем решить, как действовать. Они также позволяют злоумышленникам исследовать, что они могут контролировать и что находится вокруг их точки входа, чтобы понять, как это может принести пользу их текущей цели. Для этой цели сбора информации после взлома часто используются собственные инструменты операционной системы.",Угроза нарушения целостности данных кеша; Угроза «форсированного веб-браузинга»; Угроза использования уязвимых версий программного обеспечения,3
10,Боковое перемещение,"Боковое перемещение состоит из методов, которые злоумышленники используют для распространения атаки на удаленные системы в сети и управления ими. Выполнение их основной цели часто требует исследования сети, чтобы найти свою цель, а затем получить к ней доступ. Для достижения своей цели часто требуется переключение между несколькими системами и учетными записями, чтобы получить выгоду. Злоумышленники могут установить свои собственные инструменты удаленного доступа для выполнения бокового перемещения или использовать законные учетные данные с собственными сетевыми инструментами и инструментами операционной системы, что может быть более незаметным.","Угроза автоматического распространения вредоносного кода в грид-системе; Угроза доступа/перехвата/изменения HTTP cookies; Угроза заражения DNS-кеша; Угроза использования информации идентификации/аутентификации, заданной по умолчанию; Угроза исследования механизмов работы программы; Угроза исследования приложения через отчёты об ошибках; Угроза нарушения изоляции среды исполнения BIOS; Угроза неправомерного/некорректного использования интерфейса взаимодействия с приложением; Угроза обнаружения открытых портов и идентификации привязанных к ним сетевых служб; Угроза обнаружения хостов; Угроза определения топологии вычислительной сети; Угроза распространения несанкционированно повышенных прав на всю грид-систему; Угроза сканирования веб-сервисов, разработанных на основе языка описания WSDL; Угроза наличия механизмов разработчика; Угроза несанкционированного использования системных и сетевых утилит; Угроза перехвата управления автоматизированной системой управления технологическими процессами; Угроза использования уязвимых версий программного обеспечения; Угроза перехвата управления информационной системой; Угроза несвоевременного выявления и реагирования компонентами информационной (автоматизированной) системы (в том числе средствами защиты информации) на события безопасности информации; Угроза использования скомпрометированного доверенного источника обновлений программного обеспечения",20
